Name,WAR,WAR7,JAWS,WAR/162,oWAR,dWAR,WAA,Yrs,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,ID
Johnny Bench HOF,75.1,47.2,61.2,5.6,65.7,19.7,46.6,17,14,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,.267,.342,.476,.817,126,benchjo01
Gary Carter HOF,70.2,48.4,59.3,5.0,56.3,26.1,40.1,19,11,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,.262,.335,.439,.773,115,cartega01
Iván Rodríguez HOF,68.7,39.8,54.3,4.4,54.5,29.6,33.3,21,14,2543,10270,9592,1354,2844,572,51,311,1332,127,64,513,1474,.296,.334,.464,.798,106,rodriiv01
Carlton Fisk HOF,68.5,37.5,53.0,4.4,66.3,17.1,35.3,24,11,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,.269,.341,.457,.797,117,fiskca01
Mike Piazza HOF,59.5,43.1,51.3,5.0,66.4,1.5,35.8,16,12,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,.308,.377,.545,.922,143,piazzmi01
Yogi Berra HOF,59.5,38.0,48.7,4.5,56.3,9.2,33.9,19,18,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,.285,.348,.482,.830,125,berrayo01
Joe Mauer HOF,55.2,39.0,47.1,4.8,53.0,3.0,27.5,15,6,1858,7960,6930,1018,2123,428,30,143,923,52,19,939,1034,.306,.388,.439,.827,124,mauerjo01
Bill Dickey HOF,56.4,35.4,45.9,5.1,52.0,10.2,31.7,17,11,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,.313,.382,.486,.868,127,dickebi01
Mickey Cochrane HOF,49.7,36.6,43.2,5.4,53.7,0.7,26.5,13,2,1482,6211,5169,1041,1652,333,64,119,830,64,47,857,217,.320,.419,.478,.897,129,cochrmi01
Gabby Hartnett HOF,55.5,30.7,43.1,4.5,48.1,13.3,31.1,20,6,1990,7300,6432,867,1912,396,64,236,1179,28,32,703,697,.297,.370,.489,.858,126,hartnga01
Ted Simmons HOF,50.4,34.8,42.6,3.3,53.7,5.2,19.0,21,8,2456,9685,8680,1074,2472,483,47,248,1389,21,33,855,694,.285,.348,.437,.785,118,simmote01
Thurman Munson,46.1,37.0,41.6,5.2,43.2,11.9,25.5,11,7,1423,5905,5344,696,1558,229,32,113,701,48,50,438,571,.292,.346,.410,.756,116,munsoth01
Gene Tenace,46.8,35.0,40.9,4.9,47.6,1.8,27.9,15,1,1555,5527,4390,653,1060,179,20,201,674,36,42,984,998,.241,.388,.429,.817,136,tenacge01
Buster Posey,44.8,36.6,40.7,5.3,40.8,9.8,27.1,12,7,1371,5607,4970,663,1500,293,9,158,729,23,9,540,721,.302,.372,.460,.831,129,poseybu01
Buck Ewing HOF,48.0,30.7,39.4,5.9,42.5,9.7,28.0,18,0,1315,5772,5363,1129,1625,250,178,71,883,354,,392,294,.303,.351,.456,.807,129,ewingbu01
Bill Freehan,44.8,33.7,39.3,4.1,43.3,12.0,21.2,15,11,1774,6900,6073,706,1591,241,35,200,758,24,21,626,753,.262,.340,.412,.752,112,freehbi01
Roy Campanella HOF,42.0,35.0,38.5,4.7,38.6,9.0,20.6,18,11,1449,5727,5030,786,1422,232,31,260,1019,38,20,609,501,.283,.363,.496,.859,125,camparo01
Wally Schang,48.0,27.7,37.9,4.2,47.6,6.5,22.9,19,0,1842,6440,5307,769,1506,264,90,59,705,121,50,849,573,.284,.393,.401,.794,117,schanwa01
Jorge Posada,42.7,32.6,37.6,3.8,48.6,2.6,17.3,17,5,1829,7150,6092,900,1664,379,10,275,1065,20,21,936,1453,.273,.374,.474,.848,121,posadjo01
Roger Bresnahan HOF,42.1,30.4,36.3,4.7,42.4,6.5,24.5,17,0,1446,5389,4481,682,1252,218,71,26,530,212,4,714,403,.279,.386,.377,.764,126,bresnro01
Jason Kendall,41.7,30.4,36.0,3.2,40.8,13.9,14.6,15,3,2085,8702,7627,1030,2195,394,35,75,744,189,89,721,686,.288,.366,.378,.744,95,kendaja01
Yadier Molina,42.2,28.7,35.5,3.1,27.9,28.0,15.2,19,10,2224,8554,7817,777,2168,408,7,176,1022,71,37,542,922,.277,.327,.399,.726,96,molinya01
Darrell Porter,40.9,29.1,35.0,3.7,39.8,10.6,18.4,17,4,1782,6570,5539,765,1369,237,48,188,826,39,37,905,1025,.247,.354,.409,.763,113,porteda02
Jim Sundberg,40.5,28.7,34.6,3.3,28.7,25.3,17.6,16,3,1962,6899,6021,621,1493,243,36,95,624,20,37,699,963,.248,.327,.348,.674,90,sundbji01
Charlie Bennett,38.8,30.1,34.4,5.9,27.5,17.5,23.3,15,0,1062,4310,3821,549,978,203,67,55,533,42,,478,572,.256,.340,.387,.728,119,bennech01
Lance Parrish,39.5,28.4,34.0,3.2,36.0,15.3,13.7,19,8,1988,7797,7067,856,1782,305,27,324,1070,28,37,612,1527,.252,.313,.440,.753,106,parrila02
J.T. Realmuto,36.3,30.0,33.2,4.8,33.9,10.1,20.3,11,3,1239,4992,4548,639,1237,253,34,168,625,96,25,330,1047,.272,.329,.453,.782,112,realmjt01
Russell Martin,38.8,27.3,33.0,3.7,33.1,16.5,17.4,14,4,1693,6648,5701,803,1416,255,9,191,771,101,51,792,1211,.248,.349,.397,.746,101,martiru01
Josh Gibson HOF,38.3,26.9,32.6,10.3,37.8,1.5,30.8,14,12,602,2526,2168,612,808,135,58,166,733,40,,336,,.373,.458,.718,1.176,214,gibsojo99
Ernie Lombardi HOF,37.7,24.0,30.8,3.3,39.4,3.8,15.8,17,7,1853,6353,5855,601,1792,277,27,190,990,8,9,430,262,.306,.358,.460,.818,126,lombaer01
Víctor Martínez,32.0,29.0,30.5,2.6,37.4,-8.3,3.3,16,5,1973,8166,7297,914,2153,423,3,246,1178,7,7,730,891,.295,.360,.455,.815,118,martivi01
Salvador Perez,35.5,24.3,29.9,3.7,28.2,14.8,14.1,13,9,1552,6263,5880,656,1571,285,11,273,916,6,1,243,1178,.267,.303,.459,.762,105,perezsa02
Ray Schalk HOF,33.0,25.7,29.4,3.0,23.8,18.3,8.6,18,0,1762,6242,5306,579,1345,199,49,11,593,177,69,638,358,.253,.340,.316,.656,83,schalra01
Smoky Burgess,33.4,23.4,28.4,3.2,32.9,6.2,14.2,18,9,1691,5014,4471,485,1318,230,33,126,673,13,14,477,270,.295,.362,.446,.807,116,burgesm01
Brian McCann,32.0,24.6,28.3,3.0,34.2,7.9,10.2,15,7,1755,6850,6067,742,1590,294,5,282,1018,25,9,640,1054,.262,.337,.452,.789,110,mccanbr01
Johnny Kling,29.1,25.8,27.4,3.7,24.2,13.7,13.4,13,0,1261,4655,4246,475,1154,181,61,20,514,124,1,281,327,.272,.319,.357,.676,100,klingjo01
Javy López,29.7,24.9,27.3,3.2,31.2,5.7,11.3,15,3,1503,5793,5319,674,1527,267,19,260,864,8,19,357,969,.287,.337,.491,.828,112,lopezja01
Mickey Tettleton,29.3,24.7,27.0,3.2,34.9,-3.6,9.8,14,2,1485,5745,4698,711,1132,210,16,245,732,23,29,949,1307,.241,.369,.449,.818,122,tettlmi01
Manny Sanguillén,27.5,26.4,27.0,3.1,22.3,11.4,9.8,13,3,1448,5383,5062,566,1500,205,57,65,585,35,38,223,331,.296,.326,.398,.724,102,sanguma01
Elston Howard,27.0,26.5,26.7,2.7,24.3,8.2,8.4,15,12,1625,5929,5443,635,1491,223,53,168,775,10,14,376,786,.274,.321,.427,.748,107,howarel01
Tom Haller,29.3,23.9,26.6,3.7,28.6,7.9,12.6,12,3,1294,4520,3935,461,1011,153,31,134,504,14,30,477,593,.257,.340,.414,.753,114,halleto01
Duke Farrell,31.1,21.7,26.4,3.2,24.8,12.8,10.1,18,0,1565,6269,5682,829,1572,211,123,52,916,150,,480,369,.277,.338,.385,.723,100,farredu01
Del Crandall,28.0,24.3,26.1,2.9,21.7,14.0,6.7,16,11,1573,5584,5026,585,1276,179,18,179,657,26,31,424,477,.254,.312,.404,.716,96,crandde01
Sherm Lollar,30.1,21.9,26.0,2.8,26.4,10.4,11.0,18,9,1752,6221,5351,623,1415,244,14,155,808,20,10,671,453,.264,.357,.402,.759,104,lollash01
Rick Ferrell HOF,30.8,20.9,25.9,2.6,27.5,9.4,6.5,18,7,1884,7076,6028,687,1692,324,45,28,734,29,35,931,277,.281,.378,.363,.741,95,ferreri01
Willson Contreras,27.1,24.4,25.7,4.6,24.0,7.1,15.1,9,3,943,3712,3210,456,828,177,10,152,468,32,21,375,893,.258,.353,.461,.814,117,contrwi01
Ed Bailey,27.2,22.9,25.1,3.6,24.7,8.6,11.0,14,6,1212,4212,3581,432,915,128,15,155,540,17,18,545,577,.256,.355,.429,.784,110,baileed01
Walker Cooper,27.2,22.7,24.9,3.0,29.3,2.5,8.2,18,8,1473,5082,4702,573,1341,240,40,173,812,18,11,309,357,.285,.332,.464,.796,116,coopewa01
Tim McCarver,28.3,21.4,24.8,2.4,30.0,6.4,6.4,21,2,1909,6206,5529,590,1501,242,57,97,645,61,49,548,422,.271,.337,.388,.725,102,mccarti01
Terry Steinbach,28.0,21.6,24.8,2.9,27.0,9.3,7.8,14,3,1546,5905,5369,638,1453,273,21,162,745,23,22,418,938,.271,.326,.420,.746,102,steinte01
Charles Zimmer,29.4,20.1,24.8,3.7,19.8,17.2,12.2,19,0,1280,5078,4546,617,1225,222,76,26,625,151,,390,511,.269,.339,.369,.708,96,zimmech01
Tony Peña,24.7,24.7,24.7,2.0,19.2,17.7,0.3,18,5,1988,7073,6489,667,1687,298,27,107,708,80,63,455,846,.260,.309,.364,.673,84,penato01
Butch Wynegar,26.5,22.7,24.6,3.3,21.3,14.1,9.7,13,2,1301,5067,4330,498,1102,176,15,65,506,10,13,626,428,.255,.348,.347,.695,93,wynegbu01
Mike Napoli,26.3,22.0,24.2,3.1,27.8,-2.7,7.5,12,1,1392,5330,4572,697,1125,224,11,267,744,39,24,650,1468,.246,.346,.475,.821,117,napolmi01
Jack Meyers,25.2,22.7,24.0,4.1,23.7,7.8,14.9,9,0,992,3238,2834,276,826,120,41,14,369,44,13,274,174,.291,.367,.378,.744,117,meyerch01
Mike Scioscia,26.1,21.7,23.9,2.9,21.0,13.4,9.1,13,2,1441,5057,4373,398,1131,198,12,68,446,29,24,567,307,.259,.344,.356,.700,99,sciosmi01
Bob Boone,27.4,20.4,23.9,2.0,16.3,25.8,1.2,19,4,2264,8148,7245,679,1838,303,26,105,826,38,50,663,608,.254,.315,.346,.661,82,boonebo01
Jack Clements,26.8,20.5,23.6,3.7,28.8,4.6,10.9,17,0,1160,4721,4295,619,1231,226,60,77,687,55,,341,317,.287,.348,.421,.769,117,clemeja01
Steve O'Neill,26.4,20.5,23.4,2.7,23.3,11.1,4.7,17,0,1590,5577,4795,448,1259,248,34,13,534,30,26,592,414,.263,.349,.337,.685,88,o'neist01
Darren Daulton,22.9,23.7,23.3,3.2,25.4,2.6,9.4,14,3,1161,4340,3630,511,891,197,25,137,588,50,10,629,726,.245,.357,.427,.784,114,daultda01
Benito Santiago,27.4,18.6,23.0,2.2,23.5,15.2,3.5,20,5,1978,7516,6951,755,1830,323,41,217,920,91,69,430,1270,.263,.307,.415,.722,93,santibe01
Biz Mackey HOF,25.8,20.0,22.9,4.6,25.0,2.5,14.1,22,5,900,3442,3081,497,1011,167,57,52,604,60,5,298,9,.328,.390,.470,.860,131,mackebi99
Chris Hoiles,23.5,22.3,22.9,4.3,23.1,5.3,11.9,10,0,894,3339,2820,415,739,122,2,151,449,5,7,435,616,.262,.366,.467,.833,119,hoilech01
Carlos Ruiz,22.5,21.1,21.8,3.2,18.5,10.8,9.9,12,1,1136,4069,3539,405,935,223,7,71,415,25,10,403,499,.264,.350,.391,.742,100,ruizca01
Jason Varitek,24.2,18.8,21.5,2.5,24.9,8.8,3.6,15,3,1546,5839,5099,664,1307,306,14,193,757,25,18,614,1216,.256,.341,.435,.776,99,varitja01
Charles Johnson,22.6,20.4,21.5,3.1,15.7,13.8,8.8,12,2,1188,4386,3836,465,940,211,4,167,570,6,10,475,997,.245,.330,.433,.762,97,johnsch04
Fred Carroll,21.9,20.8,21.4,4.7,23.0,-0.3,12.3,8,0,754,3290,2892,546,820,146,66,27,366,137,,348,136,.284,.370,.408,.778,136,carrofr01
Deacon McGuire,24.7,17.7,21.2,2.2,32.6,2.1,1.3,26,0,1781,6944,6291,770,1750,300,79,45,840,118,0,515,442,.278,.341,.372,.713,101,mcguide01
Rick Dempsey,25.1,17.2,21.2,2.3,17.8,17.4,7.3,24,0,1765,5407,4692,525,1093,223,12,96,471,20,19,592,736,.233,.319,.347,.666,87,dempsri01
Johnny Bassler,21.0,20.9,21.0,4.2,18.6,5.1,10.0,9,0,811,2867,2319,250,704,99,16,1,319,13,8,437,81,.304,.416,.361,.777,104,bassljo01
A.J. Pierzynski,23.8,18.1,20.9,1.9,28.4,8.4,-3.5,19,2,2059,7815,7290,807,2043,407,24,188,909,15,23,308,895,.280,.319,.420,.739,94,pierza.01
John Roseboro,22.4,19.4,20.9,2.3,22.4,8.8,1.6,14,6,1585,5529,4847,512,1206,190,44,104,548,67,56,547,677,.249,.326,.371,.697,95,rosebjo01
Hank Gowdy,23.6,18.1,20.8,3.6,17.4,10.6,13.3,17,0,1050,3145,2735,270,738,124,27,21,321,59,7,311,247,.270,.351,.358,.709,104,gowdyha01
John Romano,20.9,20.2,20.6,3.7,22.5,3.3,10.8,10,4,905,3256,2767,355,706,112,10,129,417,7,9,414,485,.255,.354,.443,.797,122,romanjo01
Terry Kennedy,21.6,19.4,20.5,2.3,18.5,11.3,3.3,14,4,1491,5421,4979,474,1313,244,12,113,628,6,15,365,855,.264,.314,.386,.699,96,kennete02
Ramón Hernández,22.0,18.8,20.4,2.3,22.0,8.9,2.8,15,1,1526,5701,5105,580,1345,262,8,169,757,9,5,430,734,.263,.327,.417,.744,96,hernara02
Joe Ferguson,21.0,19.6,20.3,3.4,21.0,3.9,9.4,14,0,1013,3624,3001,407,719,121,11,122,445,22,12,562,607,.240,.358,.409,.767,116,fergujo01
Muddy Ruel,20.9,19.5,20.2,2.3,17.4,8.3,0.6,19,0,1468,5299,4514,494,1242,187,29,4,536,61,65,606,238,.275,.365,.332,.697,83,ruelmu01
Bob O'Farrell,21.5,18.9,20.2,2.3,19.9,6.1,6.0,21,0,1492,4745,4101,517,1120,201,58,51,549,35,19,547,408,.273,.360,.388,.748,98,o'farbo01
Mike Stanley,20.9,19.5,20.2,2.3,26.9,-5.2,3.8,15,1,1467,4989,4222,625,1138,220,7,187,702,13,4,652,929,.270,.370,.458,.827,117,stanlmi02
Virgil Davis,22.3,17.6,20.0,2.5,22.0,4.3,6.4,16,0,1458,4718,4255,388,1312,244,22,77,647,6,13,386,326,.308,.369,.430,.799,110,davissp01
Andy Seminick,21.4,17.9,19.6,2.7,22.4,3.7,3.9,15,1,1304,4575,3921,495,953,139,26,164,556,23,22,582,780,.243,.347,.417,.764,107,seminan01
Yasmani Grandal,20.3,19.0,19.6,2.5,24.2,2.5,4.6,13,2,1307,4885,4138,535,977,183,7,194,592,13,7,679,1124,.236,.345,.424,.769,110,grandya01
John Stearns,19.7,19.4,19.6,3.9,16.0,8.1,9.5,11,4,810,3083,2681,334,696,152,10,46,312,91,51,323,294,.260,.341,.375,.717,102,stearjo01
Ed McFarland,20.8,17.3,19.0,3.8,19.1,7.2,8.5,14,0,894,3379,3007,398,826,146,49,13,383,65,,254,174,.275,.335,.369,.704,103,mcfared01
George Miller,19.1,18.7,18.9,2.4,22.9,0.0,0.6,13,0,1318,5695,5171,839,1381,192,57,33,567,260,,467,129,.267,.333,.345,.678,97,milledo01
John Milligan,20.3,17.5,18.9,4.3,17.2,6.6,12.1,10,0,772,3210,2964,440,848,189,50,49,497,41,,210,190,.286,.341,.433,.774,123,millijo01
Kurt Suzuki,19.5,18.2,18.8,1.9,21.0,9.0,-1.8,16,1,1635,6163,5563,594,1421,295,6,143,730,20,11,387,751,.255,.314,.388,.702,90,suzukku01
Earl Battey,18.8,18.6,18.7,2.7,18.9,6.5,6.1,13,5,1141,4105,3586,393,969,150,17,104,449,13,12,421,470,.270,.349,.409,.757,106,batteea01
Will Smith,18.4,18.4,18.4,4.9,17.6,4.4,10.3,6,2,612,2510,2146,349,554,108,9,111,381,10,1,266,465,.258,.350,.472,.822,124,smithwi05
Hank Severeid,18.7,18.0,18.4,2.2,20.2,4.5,0.3,15,0,1390,4792,4312,408,1245,204,42,17,538,35,19,331,169,.289,.342,.367,.709,92,severha01
Jonathan Lucroy,17.7,18.8,18.3,2.4,20.3,4.3,3.0,12,2,1210,4591,4140,483,1134,217,24,108,548,30,9,369,662,.274,.335,.416,.752,102,lucrojo01
Ernie Whitt,18.3,18.2,18.2,2.2,16.6,9.5,4.6,15,1,1328,4271,3774,447,938,176,15,134,534,22,26,436,491,.249,.324,.410,.734,99,whitter01
Paul Lo Duca,17.8,18.6,18.2,2.7,15.0,7.9,4.9,11,4,1082,4302,3892,483,1112,222,8,80,481,20,19,266,295,.286,.337,.409,.746,97,loducpa01
Yan Gomes,18.5,17.8,18.2,2.7,13.0,12.3,4.8,13,1,1118,4082,3756,443,923,192,10,137,517,8,0,216,958,.246,.295,.412,.706,90,gomesya01
John Clapp,19.1,16.9,18.0,5.3,17.1,4.5,9.9,11,0,588,2635,2523,459,713,92,35,7,279,17,11,112,51,.283,.313,.355,.668,118,clappjo01
Matt Wieters,18.3,17.3,17.8,2.5,14.8,10.6,2.9,12,4,1167,4428,3994,440,996,190,5,146,550,9,4,368,847,.249,.313,.409,.722,93,wietema01
Don Slaught,19.4,14.8,17.1,2.4,21.9,4.8,5.1,16,0,1327,4503,4063,415,1151,235,28,77,476,18,15,311,559,.283,.338,.412,.749,104,slaugdo01
Mike Grady,17.7,16.4,17.1,3.1,24.9,-3.9,5.8,11,0,922,3438,3008,489,884,155,67,35,461,114,,311,276,.294,.374,.425,.799,126,gradymi01
Heinie Peitz,19.6,14.1,16.9,2.6,17.9,8.0,3.2,16,0,1235,4659,4124,532,1117,191,66,16,560,91,0,410,261,.271,.342,.361,.703,93,peitzhe01
Frank Snyder,17.2,16.4,16.8,2.0,13.8,9.3,2.1,16,0,1392,4619,4229,331,1122,170,44,47,525,37,22,281,416,.265,.313,.360,.672,89,snydefr01
Ivey Wingo,17.8,15.3,16.6,2.2,15.7,9.1,3.6,17,0,1327,4378,4003,362,1039,147,81,25,455,87,36,264,285,.260,.307,.355,.662,90,wingoiv01
Jody Davis,15.8,17.0,16.4,2.4,11.1,11.1,2.1,10,2,1082,3984,3585,364,877,164,11,127,490,7,16,333,712,.245,.307,.403,.710,92,davisjo02
Bubbles Hargrave,16.4,16.4,16.4,3.1,18.9,0.1,7.0,12,0,852,2853,2533,314,786,155,58,29,376,29,19,217,165,.310,.372,.452,.824,118,hargrbu01
Steve Yeager,17.9,14.8,16.3,2.3,9.6,15.4,4.8,15,0,1269,4015,3584,357,816,118,16,102,410,14,18,342,726,.228,.298,.355,.653,83,yeagest01
Alex Avila,17.0,15.3,16.1,2.6,16.3,6.8,4.5,13,1,1052,3638,3060,352,714,155,9,105,397,8,8,528,1068,.233,.348,.393,.740,101,avilaal01
Brad Ausmus,16.5,15.1,15.8,1.4,8.9,18.7,-5.6,18,1,1971,7102,6279,718,1579,270,34,80,607,102,53,634,1034,.251,.325,.344,.669,75,ausmubr01
Clay Dalrymple,16.7,14.8,15.7,2.5,9.4,13.0,3.3,12,0,1079,3532,3042,243,710,98,23,55,327,3,13,387,403,.233,.322,.335,.657,85,dalrycl01
Stan Lopata,15.3,15.8,15.5,2.9,18.3,0.0,3.7,13,2,853,3035,2601,375,661,116,25,116,397,18,13,393,497,.254,.351,.452,.803,114,lopatst01
Miguel Montero,14.3,16.4,15.4,2.0,17.5,3.6,0.8,13,2,1185,4343,3801,458,973,197,7,126,550,5,9,446,881,.256,.340,.411,.751,100,montemi01
Jim Pagliaroni,15.8,14.6,15.2,3.0,17.1,3.4,5.6,11,0,849,2853,2465,269,622,98,7,90,326,4,7,330,494,.252,.344,.407,.751,110,pagliji01
Chris Iannetta,15.0,15.1,15.1,2.0,19.0,3.3,1.3,14,0,1197,4253,3563,449,820,181,11,141,502,11,10,576,1024,.230,.345,.406,.751,98,iannech01
Gary Sánchez,15.0,15.1,15.1,2.9,15.2,3.0,4.2,10,2,830,3212,2836,404,636,118,3,184,485,6,2,308,861,.224,.309,.463,.772,107,sanchga02
Mike Lieberthal,15.3,14.6,14.9,2.0,19.0,3.2,1.0,14,2,1212,4695,4218,534,1155,257,10,150,610,8,7,335,571,.274,.337,.446,.783,101,liebemi01
Wilson Ramos,15.2,14.6,14.9,2.5,15.6,5.8,3.1,12,2,990,3786,3492,362,946,151,2,136,534,1,3,245,638,.271,.318,.432,.750,102,ramoswi01
Harry Danning,14.7,15.1,14.9,2.7,13.9,3.4,3.5,10,4,890,3194,2971,363,847,162,26,57,397,13,16,187,217,.285,.330,.415,.745,104,danniha01
Johnny Edwards,14.7,15.1,14.9,1.6,13.2,9.9,-3.8,14,3,1470,5132,4577,430,1106,202,32,81,524,15,23,465,635,.242,.311,.353,.664,85,edwarjo01
Lou Criger,16.1,13.6,14.8,2.6,8.9,13.7,2.5,16,0,1012,3637,3202,337,709,86,50,11,342,58,0,309,225,.221,.295,.290,.584,72,crigelo01
